action,argmax_correct,choice,choice_is_argmax,confidence,correct,id,input_tokens,kind,latency_ms,output_tokens,regret,safe,split,state_id,valid,variant
straight,True,straight,True,0.47,True,development-008-order-0-0,586,order,358.72,38,0,True,development,development-008,True,original
straight,True,straight,True,0.31,True,development-034-original,618,ablation,281.02,38,0,True,development,development-034,True,original
straight,True,straight,True,0.37,True,development-006-original,609,ablation,321.85,38,0,True,development,development-006,True,original
,False,no,True,0.02,False,development-006-progress-straight,476,atomic,316.96,31,,,development,development-006,True,progress
straight,True,straight,True,0.23,True,development-040-compact,482,ablation,296.59,38,0,True,development,development-040,True,compact
left,True,south,True,0.62,True,development-050-absolute,481,ablation,300.19,38,0,True,development,development-050,True,absolute
straight,True,north,True,0.21,True,development-059-absolute,481,ablation,283.05,38,0,True,development,development-059,True,absolute
straight,False,straight,True,0.26,False,development-003-order-1-0,619,order,334.19,38,2,True,development,development-003,True,original
straight,True,straight,True,0.49,True,development-008-order-2-1,586,order,299.76,38,0,True,development,development-008,True,original
straight,True,straight,True,1.0,True,holdout-023-exact,592,ablation,306.54,38,0,True,holdout,holdout-023,True,exact
straight,False,north,True,0.42,False,development-015-absolute,520,ablation,296.86,38,2,True,development,development-015,True,absolute
straight,True,west,True,0.22,True,development-023-absolute,498,ablation,291.94,38,0,True,development,development-023,True,absolute
left,False,left,True,0.32,False,development-002-compact,498,ablation,305.86,38,2,True,development,development-002,True,compact
straight,True,straight,True,0.21,True,development-000-order-2-0,625,order,323.83,38,0,True,development,development-000,True,original
,True,yes,True,0.62,True,development-002-safe-left,461,atomic,441.05,31,,,development,development-002,True,safe
,True,yes,True,0.78,True,development-023-safe-right,461,atomic,382.97,31,,,development,development-023,True,safe
straight,False,straight,True,0.14,False,development-007-order-1-1,615,order,370.37,38,2,True,development,development-007,True,original
,True,no,True,0.26,True,development-027-progress-left,479,atomic,374.59,31,,,development,development-027,True,progress
left,True,left,True,1.0,True,development-041-exact,563,ablation,350.24,38,0,True,development,development-041,True,exact
straight,True,straight,True,0.22,True,holdout-035-local,586,ablation,497.49,38,0,True,holdout,holdout-035,True,local
straight,False,east,True,0.51,False,development-005-absolute,498,ablation,264.41,38,2,True,development,development-005,True,absolute
right,True,right,True,0.99,True,holdout-059-exact,566,ablation,577.61,38,0,True,holdout,holdout-059,True,exact
straight,True,straight,True,0.49,True,development-031-compact,510,ablation,291.61,38,0,True,development,development-031,True,compact
straight,False,straight,True,0.45,False,holdout-039-original,587,ablation,293.06,38,2,True,holdout,holdout-039,True,original
left,True,left,True,0.46,True,development-054-local,585,ablation,361.76,38,0,True,development,development-054,True,local
straight,True,straight,True,0.59,True,holdout-011-local,607,ablation,316.66,38,0,True,holdout,holdout-011,True,local
straight,True,straight,True,0.43,True,development-006-order-0-0,609,order,353.32,38,0,True,development,development-006,True,original
,False,no,True,0.26,False,development-017-progress-right,461,atomic,374.76,31,,,development,development-017,True,progress
right,True,right,True,0.49,True,holdout-041-local,597,ablation,317.01,38,0,True,holdout,holdout-041,True,local
,True,no,True,0.79,True,development-011-progress-straight,461,atomic,356.92,31,,,development,development-011,True,progress
right,True,right,True,0.33,True,holdout-045-original,594,ablation,315.91,38,0,True,holdout,holdout-045,True,original
,False,no,True,0.11,False,development-008-progress-straight,455,atomic,316.58,31,,,development,development-008,True,progress
straight,True,north,True,0.25,True,development-030-absolute,512,ablation,308.39,38,0,True,development,development-030,True,absolute
right,True,right,True,0.8,True,development-056-exact,581,ablation,328.93,38,0,True,development,development-056,True,exact
,True,no,True,0.54,True,development-000-safe-left,480,atomic,286.27,31,,,development,development-000,True,safe
straight,False,straight,True,0.25,False,development-003-local,619,ablation,362.93,38,2,True,development,development-003,True,local
straight,True,straight,True,0.25,True,holdout-049-original,587,ablation,308.95,38,0,True,holdout,holdout-049,True,original
left,True,left,True,0.71,True,development-055-compact,491,ablation,383.65,38,0,True,development,development-055,True,compact
,True,yes,True,0.72,True,development-006-progress-left,476,atomic,313.64,31,,,development,development-006,True,progress
right,True,right,True,0.93,True,holdout-032-exact,562,ablation,318.67,38,0,True,holdout,holdout-032,True,exact
right,True,right,True,0.98,True,holdout-052-exact,579,ablation,1618.8,38,0,True,holdout,holdout-052,True,exact
straight,True,straight,True,0.31,True,holdout-043-compact,486,ablation,285.55,38,0,True,holdout,holdout-043,True,compact
straight,True,north,True,0.74,True,holdout-017-absolute,510,ablation,283.59,38,0,True,holdout,holdout-017,True,absolute
left,True,left,True,1.0,True,holdout-037-exact,570,ablation,297.79,38,0,True,holdout,holdout-037,True,exact
right,True,right,True,0.34,True,holdout-057-local,587,ablation,1149.96,38,0,True,holdout,holdout-057,True,local
straight,True,north,True,0.26,True,development-008-absolute,480,ablation,364.83,38,0,True,development,development-008,True,absolute
straight,False,east,True,0.51,False,development-027-absolute,504,ablation,372.98,38,2,True,development,development-027,True,absolute
,True,yes,True,0.57,True,development-012-progress-straight,482,atomic,380.43,31,,,development,development-012,True,progress
straight,False,straight,True,0.38,False,development-009-order-5-1,586,order,316.92,38,2,True,development,development-009,True,original
straight,False,straight,True,0.61,False,development-047-compact,487,ablation,334.69,38,2,True,development,development-047,True,compact
,True,no,True,0.48,True,development-023-progress-left,473,atomic,300.47,31,,,development,development-023,True,progress
left,True,left,True,1.0,True,holdout-056-exact,569,ablation,316.37,38,0,True,holdout,holdout-056,True,exact
left,True,left,True,0.52,True,development-014-local,606,ablation,331.15,38,0,True,development,development-014,True,local
right,True,right,True,0.99,True,holdout-022-exact,590,ablation,333.68,38,0,True,holdout,holdout-022,True,exact
,True,no,True,0.07,True,development-024-progress-left,486,atomic,303.41,31,,,development,development-024,True,progress
,True,yes,True,0.73,True,development-018-safe-left,467,atomic,290.8,31,,,development,development-018,True,safe
straight,True,straight,True,0.75,True,development-034-compact,511,ablation,308.13,38,0,True,development,development-034,True,compact
straight,True,west,True,0.47,True,development-056-absolute,496,ablation,723.25,38,0,True,development,development-056,True,absolute
left,True,left,True,0.73,True,holdout-056-local,592,ablation,388.18,38,0,True,holdout,holdout-056,True,local
straight,False,straight,True,0.22,False,holdout-059-original,589,ablation,308.32,38,2,True,holdout,holdout-059,True,original
straight,True,north,True,0.61,True,development-012-absolute,507,ablation,325.38,38,0,True,development,development-012,True,absolute
straight,False,straight,True,0.3,False,development-049-original,613,ablation,321.58,38,2,True,development,development-049,True,original
left,True,left,True,0.51,True,development-008-local,585,ablation,302.95,38,0,True,development,development-008,True,local
left,False,left,True,0.22,False,holdout-022-original,611,ablation,281.05,38,6,True,holdout,holdout-022,True,original
straight,False,south,True,0.61,False,holdout-034-absolute,481,ablation,330.51,38,2,True,holdout,holdout-034,True,absolute
right,False,north,True,0.47,False,development-040-absolute,482,ablation,284.57,38,2,True,development,development-040,True,absolute
left,True,left,True,0.98,True,development-053-exact,566,ablation,289.7,38,0,True,development,development-053,True,exact
straight,False,straight,True,0.21,False,development-010-order-0-1,598,order,272.85,38,2,True,development,development-010,True,original
left,True,south,True,0.59,True,development-003-absolute,511,ablation,329.16,38,0,True,development,development-003,True,absolute
,True,yes,True,0.64,True,development-004-safe-straight,452,atomic,299.68,31,,,development,development-004,True,safe
,False,yes,True,0.09,False,development-000-progress-right,493,atomic,295.73,31,,,development,development-000,True,progress
right,True,right,True,0.28,True,holdout-008-local,616,ablation,333.31,38,0,True,holdout,holdout-008,True,local
right,True,right,True,0.65,True,development-007-local,614,ablation,319.52,38,0,True,development,development-007,True,local
,True,no,True,0.48,True,development-025-progress-left,462,atomic,308.61,31,,,development,development-025,True,progress
right,True,right,True,0.08,True,development-005-order-3-0,606,order,302.62,38,0,True,development,development-005,True,original
straight,False,straight,True,0.13,False,development-010-order-1-1,598,order,298.15,38,2,True,development,development-010,True,original
straight,True,straight,True,0.21,True,holdout-023-original,617,ablation,326.04,38,0,True,holdout,holdout-023,True,original
,False,yes,True,0.2,False,development-002-progress-left,473,atomic,339.08,31,,,development,development-002,True,progress
straight,True,straight,True,0.37,True,development-008-order-1-1,586,order,334.88,38,0,True,development,development-008,True,original
straight,False,east,True,0.28,False,holdout-059-absolute,481,ablation,318.05,38,2,True,holdout,holdout-059,True,absolute
straight,False,straight,True,0.37,False,holdout-051-original,587,ablation,329.21,38,2,True,holdout,holdout-051,True,original
straight,True,straight,True,0.97,True,holdout-054-local,585,ablation,350.49,38,0,True,holdout,holdout-054,True,local
,True,yes,True,0.79,True,development-012-safe-right,470,atomic,308.19,31,,,development,development-012,True,safe
straight,True,straight,True,0.47,True,holdout-025-original,599,ablation,364.57,38,0,True,holdout,holdout-025,True,original
straight,True,straight,True,0.2,True,holdout-024-original,630,ablation,343.97,38,0,True,holdout,holdout-024,True,original
straight,False,straight,True,0.12,False,development-007-order-2-1,615,order,828.05,38,2,True,development,development-007,True,original
,True,yes,True,0.2,True,development-023-progress-right,473,atomic,292.52,31,,,development,development-023,True,progress
,True,yes,True,0.78,True,development-011-safe-right,449,atomic,380.89,31,,,development,development-011,True,safe
,True,yes,True,0.94,True,development-006-safe-left,464,atomic,304.93,31,,,development,development-006,True,safe
straight,False,straight,True,0.06,False,development-007-order-2-0,615,order,356.12,38,2,True,development,development-007,True,original
left,True,left,True,0.05,True,development-011-order-1-1,594,order,380.94,38,0,True,development,development-011,True,original
straight,True,straight,True,0.32,True,holdout-006-original,635,ablation,351.53,38,0,True,holdout,holdout-006,True,original
left,True,left,True,0.99,True,development-054-exact,562,ablation,346.04,38,0,True,development,development-054,True,exact
straight,True,north,True,0.33,True,development-031-absolute,510,ablation,378.87,38,0,True,development,development-031,True,absolute
straight,True,straight,True,0.83,True,holdout-021-compact,500,ablation,312.95,38,0,True,holdout,holdout-021,True,compact
left,True,left,True,0.28,True,development-003-order-2-0,619,order,264.17,38,0,True,development,development-003,True,original
straight,True,straight,True,0.7,True,development-016-local,615,ablation,330.71,38,0,True,development,development-016,True,local
right,True,right,True,0.39,True,holdout-028-local,609,ablation,287.53,38,0,True,holdout,holdout-028,True,local
straight,False,straight,True,0.24,False,holdout-059-compact,481,ablation,291.81,38,2,True,holdout,holdout-059,True,compact
straight,True,straight,True,0.39,True,development-038-compact,511,ablation,325.93,38,0,True,development,development-038,True,compact
,True,no,True,0.89,True,development-008-progress-right,455,atomic,365.31,31,,,development,development-008,True,progress
left,False,east,True,0.53,False,development-002-absolute,498,ablation,315.26,38,2,True,development,development-002,True,absolute
right,True,right,True,0.19,True,holdout-032-compact,480,ablation,292.0,38,0,True,holdout,holdout-032,True,compact
straight,True,straight,True,0.34,True,development-022-compact,486,ablation,278.82,38,0,True,development,development-022,True,compact
,True,yes,True,0.9,True,development-010-safe-right,452,atomic,341.61,31,,,development,development-010,True,safe
,True,yes,True,0.59,True,development-014-progress-left,474,atomic,326.91,31,,,development,development-014,True,progress
straight,True,straight,True,0.96,True,holdout-015-compact,518,ablation,336.16,38,0,True,holdout,holdout-015,True,compact
straight,True,straight,True,0.34,True,development-040-local,588,ablation,320.61,38,0,True,development,development-040,True,local
,True,yes,True,0.83,True,development-010-safe-left,452,atomic,314.97,31,,,development,development-010,True,safe
straight,False,straight,True,0.31,False,development-009-order-1-1,586,order,332.94,38,2,True,development,development-009,True,original
straight,True,straight,True,0.66,True,holdout-021-original,607,ablation,313.86,38,0,True,holdout,holdout-021,True,original
straight,True,straight,True,0.34,True,development-001-order-0-1,602,order,309.58,38,0,True,development,development-001,True,original
,True,yes,True,0.92,True,development-022-safe-left,449,atomic,332.73,31,,,development,development-022,True,safe
right,True,east,True,0.88,True,holdout-044-absolute,486,ablation,330.74,38,0,True,holdout,holdout-044,True,absolute
straight,True,straight,True,1.0,True,holdout-054-exact,562,ablation,390.88,38,0,True,holdout,holdout-054,True,exact
right,True,right,True,0.99,True,development-027-exact,586,ablation,280.79,38,0,True,development,development-027,True,exact
straight,True,straight,True,0.45,True,holdout-038-original,589,ablation,347.35,38,0,True,holdout,holdout-038,True,original
left,True,east,True,0.45,True,development-044-absolute,480,ablation,310.45,38,0,True,development,development-044,True,absolute
,True,no,True,0.79,True,development-015-safe-right,481,atomic,304.79,31,,,development,development-015,True,safe
straight,True,straight,True,0.44,True,development-046-local,589,ablation,307.06,38,0,True,development,development-046,True,local
straight,True,straight,True,0.3,True,development-001-order-2-0,602,order,292.98,38,0,True,development,development-001,True,original
straight,True,straight,True,0.48,True,holdout-049-local,586,ablation,312.1,38,0,True,holdout,holdout-049,True,local
straight,False,straight,True,0.22,False,development-005-original,606,ablation,315.09,38,2,True,development,development-005,True,original
straight,True,straight,True,1.0,True,holdout-027-exact,586,ablation,285.32,38,0,True,holdout,holdout-027,True,exact
straight,True,west,True,0.2,True,holdout-028-absolute,504,ablation,370.15,38,0,True,holdout,holdout-028,True,absolute
left,True,left,True,0.52,True,development-011-compact,486,ablation,336.92,38,0,True,development,development-011,True,compact
straight,True,straight,True,0.71,True,holdout-024-local,631,ablation,288.54,38,0,True,holdout,holdout-024,True,local
right,True,south,True,0.1,True,development-007-absolute,509,ablation,366.36,38,0,True,development,development-007,True,absolute
straight,True,straight,True,0.4,True,development-044-original,588,ablation,343.38,38,0,True,development,development-044,True,original
right,True,right,True,0.27,True,holdout-009-local,614,ablation,332.76,38,0,True,holdout,holdout-009,True,local
,True,yes,True,0.87,True,development-009-safe-right,443,atomic,354.57,31,,,development,development-009,True,safe
straight,True,north,True,0.39,True,development-004-absolute,489,ablation,294.98,38,0,True,development,development-004,True,absolute
straight,True,straight,True,0.57,True,development-025-original,594,ablation,266.67,38,0,True,development,development-025,True,original
left,True,left,True,0.13,True,development-011-order-3-0,594,order,365.33,38,0,True,development,development-011,True,original
straight,True,straight,True,0.38,True,development-008-order-3-0,586,order,272.57,38,0,True,development,development-008,True,original
straight,True,straight,True,0.52,True,development-008-order-2-0,586,order,337.5,38,0,True,development,development-008,True,original
,True,yes,True,0.56,True,development-005-safe-left,461,atomic,469.73,31,,,development,development-005,True,safe
straight,True,straight,True,0.63,True,holdout-000-original,600,ablation,474.37,38,0,True,holdout,holdout-000,True,original
right,True,right,True,0.58,True,holdout-036-local,592,ablation,289.84,38,0,True,holdout,holdout-036,True,local
left,False,east,True,0.14,False,development-029-absolute,498,ablation,339.19,38,2,True,development,development-029,True,absolute
straight,True,straight,True,0.33,True,development-020-local,611,ablation,363.42,38,0,True,development,development-020,True,local
left,True,left,True,0.25,True,holdout-047-compact,485,ablation,348.94,38,0,True,holdout,holdout-047,True,compact
straight,True,straight,True,1.0,True,holdout-001-exact,586,ablation,356.69,38,0,True,holdout,holdout-001,True,exact
left,True,left,True,0.8,True,holdout-050-local,591,ablation,311.33,38,0,True,holdout,holdout-050,True,local
straight,False,straight,True,0.36,False,development-005-order-5-0,606,order,301.63,38,2,True,development,development-005,True,original
straight,True,straight,True,0.93,True,holdout-018-compact,486,ablation,336.94,38,0,True,holdout,holdout-018,True,compact
straight,False,straight,True,0.23,False,development-003-order-4-1,619,order,345.58,38,2,True,development,development-003,True,original
,True,yes,True,0.73,True,development-015-safe-left,481,atomic,344.16,31,,,development,development-015,True,safe
straight,True,straight,True,1.0,True,holdout-018-exact,570,ablation,351.67,38,0,True,holdout,holdout-018,True,exact
straight,True,straight,True,0.29,True,development-008-compact,480,ablation,464.31,38,0,True,development,development-008,True,compact
left,True,left,True,0.33,True,development-045-local,602,ablation,362.33,38,0,True,development,development-045,True,local
left,True,left,True,0.23,True,development-003-order-4-0,619,order,382.48,38,0,True,development,development-003,True,original
straight,False,straight,True,0.34,False,development-003-order-3-1,619,order,302.51,38,2,True,development,development-003,True,original
right,True,right,True,0.62,True,development-027-local,609,ablation,326.29,38,0,True,development,development-027,True,local
straight,False,straight,True,0.2,False,development-010-order-5-0,598,order,366.66,38,2,True,development,development-010,True,original
straight,True,straight,True,0.86,True,holdout-018-original,594,ablation,405.0,38,0,True,holdout,holdout-018,True,original
,True,no,True,0.72,True,development-003-progress-right,487,atomic,317.65,31,,,development,development-003,True,progress
straight,True,straight,True,0.55,True,holdout-003-compact,502,ablation,397.53,38,0,True,holdout,holdout-003,True,compact
straight,True,south,True,0.45,True,holdout-007-absolute,481,ablation,411.02,38,0,True,holdout,holdout-007,True,absolute
,False,yes,True,0.37,False,development-028-progress-right,485,atomic,333.93,31,,,development,development-028,True,progress
straight,False,straight,True,0.28,False,holdout-055-compact,481,ablation,366.48,38,2,True,holdout,holdout-055,True,compact
,True,yes,True,0.51,True,development-014-safe-straight,462,atomic,335.32,31,,,development,development-014,True,safe
straight,True,straight,True,1.0,True,holdout-007-exact,563,ablation,365.26,38,0,True,holdout,holdout-007,True,exact
straight,False,straight,True,0.57,False,holdout-034-compact,481,ablation,319.27,38,2,True,holdout,holdout-034,True,compact
straight,True,straight,True,0.56,True,development-056-compact,496,ablation,294.75,38,0,True,development,development-056,True,compact
right,True,right,True,1.0,True,holdout-026-exact,601,ablation,289.79,38,0,True,holdout,holdout-026,True,exact
straight,True,straight,True,0.53,True,development-001-compact,495,ablation,384.94,38,0,True,development,development-001,True,compact
straight,True,straight,True,0.45,True,development-036-compact,486,ablation,343.91,38,0,True,development,development-036,True,compact
right,True,right,True,0.84,True,holdout-005-exact,577,ablation,373.68,38,0,True,holdout,holdout-005,True,exact
,False,yes,True,0.13,False,development-019-progress-left,467,atomic,311.49,31,,,development,development-019,True,progress
,True,no,True,0.74,True,development-011-progress-right,461,atomic,348.5,31,,,development,development-011,True,progress
straight,True,straight,True,0.31,True,development-023-compact,498,ablation,327.27,38,0,True,development,development-023,True,compact
straight,True,east,True,0.67,True,development-034-absolute,511,ablation,321.85,38,0,True,development,development-034,True,absolute
left,True,left,True,0.34,True,development-011-original,594,ablation,340.72,38,0,True,development,development-011,True,original
straight,False,east,True,0.79,False,holdout-051-absolute,481,ablation,295.04,38,2,True,holdout,holdout-051,True,absolute
straight,True,straight,True,1.0,True,development-012-exact,591,ablation,345.38,38,0,True,development,development-012,True,exact
straight,True,straight,True,0.87,True,holdout-002-compact,495,ablation,299.33,38,0,True,holdout,holdout-002,True,compact
left,True,left,True,0.37,True,holdout-047-original,592,ablation,310.01,38,0,True,holdout,holdout-047,True,original
straight,True,straight,True,0.22,True,development-000-order-3-0,625,order,323.98,38,0,True,development,development-000,True,original
straight,True,straight,True,1.0,True,development-031-exact,592,ablation,295.5,38,0,True,development,development-031,True,exact
straight,True,north,True,0.76,True,holdout-031-absolute,486,ablation,336.81,38,0,True,holdout,holdout-031,True,absolute
straight,True,straight,True,0.35,True,development-000-original,625,ablation,346.51,38,0,True,development,development-000,True,original
,True,yes,True,0.9,True,development-017-safe-right,449,atomic,326.04,31,,,development,development-017,True,safe
straight,True,straight,True,0.53,True,development-022-local,591,ablation,298.09,38,0,True,development,development-022,True,local
,False,yes,True,0.02,False,development-016-progress-right,483,atomic,330.41,31,,,development,development-016,True,progress
straight,True,straight,True,0.37,True,development-006-local,608,ablation,328.93,38,0,True,development,development-006,True,local
,True,no,True,0.72,True,development-015-progress-right,493,atomic,360.21,31,,,development,development-015,True,progress
straight,False,straight,True,0.3,False,development-007-order-5-1,615,order,346.83,38,2,True,development,development-007,True,original
straight,False,west,True,0.39,False,development-048-absolute,480,ablation,375.04,38,2,True,development,development-048,True,absolute
left,False,left,True,0.33,False,holdout-023-compact,510,ablation,357.99,38,2,True,holdout,holdout-023,True,compact
,True,no,True,0.89,True,development-009-progress-right,455,atomic,308.81,31,,,development,development-009,True,progress
straight,True,straight,True,0.22,True,development-001-order-3-0,602,order,353.81,38,0,True,development,development-001,True,original
straight,True,north,True,0.61,True,holdout-025-absolute,492,ablation,310.2,38,0,True,holdout,holdout-025,True,absolute
,True,yes,True,0.01,True,development-007-progress-right,482,atomic,329.66,31,,,development,development-007,True,progress
,True,yes,True,0.59,True,development-020-progress-right,479,atomic,346.46,31,,,development,development-020,True,progress
,True,yes,True,0.81,True,development-026-safe-left,467,atomic,293.34,31,,,development,development-026,True,safe
straight,True,straight,True,0.44,True,holdout-003-original,608,ablation,316.75,38,0,True,holdout,holdout-003,True,original
straight,False,straight,True,0.34,False,holdout-033-original,595,ablation,310.59,38,2,True,holdout,holdout-033,True,original
straight,True,straight,True,0.71,True,holdout-003-local,607,ablation,322.39,38,0,True,holdout,holdout-003,True,local
left,True,left,True,0.8,True,development-044-exact,562,ablation,571.54,38,0,True,development,development-044,True,exact
straight,False,south,True,0.22,False,development-042-absolute,481,ablation,307.41,38,2,True,development,development-042,True,absolute
straight,False,south,True,0.29,False,development-054-absolute,480,ablation,339.71,38,2,True,development,development-054,True,absolute
left,True,left,True,0.15,True,development-011-order-1-0,594,order,360.81,38,0,True,development,development-011,True,original
straight,True,straight,True,0.76,True,holdout-016-exact,605,ablation,344.88,38,0,True,holdout,holdout-016,True,exact
left,True,north,True,0.33,True,holdout-056-absolute,485,ablation,345.21,38,0,True,holdout,holdout-056,True,absolute
,True,yes,True,0.53,True,development-012-safe-straight,470,atomic,300.96,31,,,development,development-012,True,safe
straight,True,straight,True,0.47,True,development-002-original,606,ablation,362.14,38,0,True,development,development-002,True,original
straight,True,straight,True,0.74,True,holdout-049-compact,481,ablation,331.09,38,0,True,holdout,holdout-049,True,compact
straight,True,straight,True,0.61,True,holdout-001-local,607,ablation,298.77,38,0,True,holdout,holdout-001,True,local
,True,yes,True,0.92,True,development-014-safe-left,462,atomic,471.44,31,,,development,development-014,True,safe
straight,True,straight,True,0.87,True,development-037-exact,596,ablation,397.2,38,0,True,development,development-037,True,exact
straight,False,straight,True,0.07,False,development-007-order-1-0,615,order,302.43,38,2,True,development,development-007,True,original
straight,True,north,True,0.31,True,holdout-014-absolute,493,ablation,304.73,38,0,True,holdout,holdout-014,True,absolute
left,True,left,True,0.82,True,development-057-exact,570,ablation,351.09,38,0,True,development,development-057,True,exact
straight,True,west,True,0.34,True,development-051-absolute,487,ablation,346.99,38,0,True,development,development-051,True,absolute
straight,True,straight,True,0.61,True,holdout-007-original,587,ablation,291.57,38,0,True,holdout,holdout-007,True,original
straight,True,straight,True,1.0,True,holdout-017-exact,592,ablation,319.91,38,0,True,holdout,holdout-017,True,exact
right,True,right,True,0.29,True,development-029-compact,498,ablation,312.56,38,0,True,development,development-029,True,compact
left,True,left,True,1.0,True,development-015-exact,606,ablation,406.9,38,0,True,development,development-015,True,exact
straight,True,west,True,0.24,True,development-020-absolute,506,ablation,334.66,38,0,True,development,development-020,True,absolute
straight,True,straight,True,0.24,True,development-006-order-3-0,609,order,307.08,38,0,True,development,development-006,True,original
right,True,right,True,0.39,True,development-029-local,603,ablation,285.65,38,0,True,development,development-029,True,local
straight,True,west,True,0.87,True,holdout-002-absolute,495,ablation,305.15,38,0,True,holdout,holdout-002,True,absolute
straight,True,straight,True,0.44,True,development-006-order-4-0,609,order,301.61,38,0,True,development,development-006,True,original
straight,True,straight,True,0.28,True,development-022-original,592,ablation,322.23,38,0,True,development,development-022,True,original
straight,True,straight,True,0.44,True,development-002-order-1-0,606,order,371.31,38,0,True,development,development-002,True,original
straight,True,straight,True,0.6,True,development-004-order-4-0,597,order,311.97,38,0,True,development,development-004,True,original
straight,True,straight,True,0.25,True,holdout-005-compact,494,ablation,361.63,38,0,True,holdout,holdout-005,True,compact
,False,yes,True,0.94,False,development-018-progress-straight,479,atomic,353.76,31,,,development,development-018,True,progress
straight,True,east,True,0.68,True,development-025-absolute,487,ablation,281.04,38,0,True,development,development-025,True,absolute
left,True,left,True,0.99,True,development-003-exact,597,ablation,311.2,38,0,True,development,development-003,True,exact
left,True,left,True,0.07,True,development-011-order-0-1,594,order,416.71,38,0,True,development,development-011,True,original
left,True,left,True,1.0,True,holdout-047-exact,567,ablation,297.13,38,0,True,holdout,holdout-047,True,exact
straight,True,straight,True,0.7,True,development-000-local,624,ablation,307.2,38,0,True,development,development-000,True,local
straight,True,straight,True,0.23,True,development-051-local,592,ablation,308.23,38,0,True,development,development-051,True,local
left,True,left,True,0.34,True,development-009-original,586,ablation,297.77,38,0,True,development,development-009,True,original
,True,yes,True,0.84,True,development-027-safe-left,467,atomic,338.1,31,,,development,development-027,True,safe
straight,False,straight,True,0.64,False,holdout-051-compact,481,ablation,326.01,38,2,True,holdout,holdout-051,True,compact
,True,yes,True,0.74,True,development-023-safe-left,461,atomic,280.45,31,,,development,development-023,True,safe
straight,True,straight,True,0.25,True,development-059-local,586,ablation,388.78,38,0,True,development,development-059,True,local
straight,True,straight,True,0.38,True,development-038-original,618,ablation,330.31,38,0,True,development,development-038,True,original
straight,True,straight,True,0.67,True,development-012-compact,507,ablation,306.86,38,0,True,development,development-012,True,compact
,True,no,True,0.23,True,development-012-progress-left,483,atomic,344.59,31,,,development,development-012,True,progress
straight,True,straight,True,0.49,True,development-002-order-5-1,606,order,362.77,38,0,True,development,development-002,True,original
straight,True,straight,True,0.99,True,holdout-013-exact,599,ablation,349.53,38,0,True,holdout,holdout-013,True,exact
,True,no,True,0.54,True,development-017-progress-left,461,atomic,314.47,31,,,development,development-017,True,progress
straight,False,north,True,0.22,False,holdout-033-absolute,487,ablation,354.29,38,2,True,holdout,holdout-033,True,absolute
right,True,right,True,0.5,True,development-052-local,586,ablation,324.79,38,0,True,development,development-052,True,local
straight,True,east,True,0.78,True,holdout-000-absolute,493,ablation,341.51,38,0,True,holdout,holdout-000,True,absolute
straight,False,straight,True,0.42,False,development-027-compact,504,ablation,339.24,38,2,True,development,development-027,True,compact
,True,yes,True,0.57,True,development-020-safe-straight,467,atomic,302.65,31,,,development,development-020,True,safe
straight,True,straight,True,0.23,True,development-000-order-2-1,625,order,304.88,38,0,True,development,development-000,True,original
,True,yes,True,0.92,True,development-008-safe-left,443,atomic,281.82,31,,,development,development-008,True,safe
right,True,right,True,0.39,True,development-010-local,599,ablation,309.15,38,0,True,development,development-010,True,local
,True,yes,True,0.63,True,development-021-progress-right,486,atomic,354.43,31,,,development,development-021,True,progress
straight,False,straight,True,0.12,False,development-011-order-0-0,594,order,304.18,38,2,True,development,development-011,True,original
straight,True,straight,True,0.62,True,holdout-001-original,609,ablation,332.52,38,0,True,holdout,holdout-001,True,original
left,True,left,True,1.0,True,holdout-055-exact,565,ablation,295.9,38,0,True,holdout,holdout-055,True,exact
straight,True,straight,True,0.88,True,holdout-020-original,614,ablation,281.99,38,0,True,holdout,holdout-020,True,original
straight,True,straight,True,0.99,True,holdout-024-exact,609,ablation,354.54,38,0,True,holdout,holdout-024,True,exact
straight,True,straight,True,0.55,True,development-024-local,616,ablation,393.44,38,0,True,development,development-024,True,local
straight,True,straight,True,0.19,True,holdout-038-compact,481,ablation,328.93,38,0,True,holdout,holdout-038,True,compact
,True,yes,True,0.53,True,development-022-progress-straight,461,atomic,303.91,31,,,development,development-022,True,progress
right,True,right,True,0.63,True,development-059-exact,564,ablation,302.79,38,0,True,development,development-059,True,exact
,True,no,True,0.69,True,development-020-progress-left,479,atomic,301.92,31,,,development,development-020,True,progress
,True,yes,True,0.18,True,development-002-progress-straight,473,atomic,326.39,31,,,development,development-002,True,progress
straight,True,straight,True,0.62,True,holdout-001-compact,502,ablation,279.32,38,0,True,holdout,holdout-001,True,compact
,False,yes,True,0.14,False,development-004-progress-right,464,atomic,309.04,31,,,development,development-004,True,progress
,True,yes,True,0.8,True,development-017-safe-straight,449,atomic,312.39,31,,,development,development-017,True,safe
left,True,left,True,0.41,True,development-050-local,589,ablation,342.43,38,0,True,development,development-050,True,local
straight,True,straight,True,0.21,True,holdout-009-compact,509,ablation,337.73,38,0,True,holdout,holdout-009,True,compact
right,True,west,True,0.62,True,holdout-032-absolute,480,ablation,370.45,38,0,True,holdout,holdout-032,True,absolute
left,True,left,True,0.35,True,holdout-039-local,588,ablation,315.64,38,0,True,holdout,holdout-039,True,local
left,True,left,True,0.37,True,development-003-compact,511,ablation,360.13,38,0,True,development,development-003,True,compact
